id;cont_run;ctry_run;iso3;ctry_long_name;ctry_geofab;cont_geofab;ctry_osmfr;cont_osmfr
81;Asia;Cambodia;KHM;Cambodia;cambodia;asia;cambodia;asia
82;Asia;Laos;LAO;Lao People's Democratic Republic;laos;asia;laos;asia
83;Asia;Sri Lanka;LKA;Sri Lanka;sri-lanka;asia;NA;NA
84;Asia;Myanmar;MMR;Myanmar;myanmar;asia;mayanmar;asia
85;Asia;Malaysia;MYS;Malaysia;malaysia-singapore-brunei;asia;malaysia;asia
86;Asia;New Caledonia;NCL;New Caledonia;new-caledonia;australia-oceania;new_caledonia;oceania
87;Asia;Philippines;PHL;Philippines;philippines;asia;NA;NA
88;Asia;Papua New Guinea;PNG;Papua New Guinea;papua-new-guinea;australia-oceania;papua_new_guinea;oceania
89;Asia;Singapore;SGP;Singapore;NA;NA;singapore;asia
90;Asia;Solomon Isl.;SLB;Solomon Islands;NA;NA;solomon_islands;oceania
91;Asia;Thailand;THA;Thailand;thailand;asia;NA;NA
92;Asia;Timor-Leste;TLS;Timor-Leste;NA;NA;east_timor;asia
93;Asia;Vietnam;VNM;Viet Nam;vietnam;asia;NA;NA
94;Asia;Vanuatu;VUT;Vanuatu;NA;NA;vanuatu;oceania
95;Brazil;Acre;BRA-AC;Acre;NA;NA;north/acre;south-america/brazil
96;Brazil;Alagoas;BRA-AL;Alagoas;NA;NA;northeast/alagoas;south-america/brazil
97;Brazil;Amazonas;BRA-AM;Amazonas;NA;NA;north/amazonas;south-america/brazil
98;Brazil;Amapa;BRA-AP;Amapá;NA;NA;north/amapa;south-america/brazil
99;Brazil;Bahia;BRA-BA;Bahia;NA;NA;northeast/bahia;south-america/brazil
100;Brazil;Ceara;BRA-CE;Ceará;NA;NA;northeast/ceara;south-america/brazil
101;Brazil;Espirito Santo;BRA-ES;Espírito Santo;NA;NA;southeast/espirito-santo;south-america/brazil
102;Brazil;Goias;BRA-GO;Goiás;NA;NA;central-west/goias;south-america/brazil
103;Brazil;Maranhao;BRA-MA;Maranhão;NA;NA;northeast/maranhao;south-america/brazil
104;Brazil;Minas Gerais;BRA-MG;Minas Gerais;NA;NA;southeast/minas-gerais;south-america/brazil
105;Brazil;Mato Grosso do Sul;BRA-MS;Mato Grosso do Sul;NA;NA;central-west/mato-grosso-do-sul;south-america/brazil
106;Brazil;Mato Grosso;BRA-MT;Mato Grosso;NA;NA;central-west/mato-grosso;south-america/brazil
107;Brazil;Para;BRA-PA;Pará;NA;NA;north/para;south-america/brazil
108;Brazil;Paraiba;BRA-PB;Paraíba;NA;NA;northeast/paraiba;south-america/brazil
109;Brazil;Pernambouco;BRA-PE;Pernambouco;NA;NA;northeast/pernambuco;south-america/brazil
110;Brazil;Piaui;BRA-PI;Piauí;NA;NA;northeast/piaui;south-america/brazil
111;Brazil;Parana;BRA-PR;Paraná;NA;NA;south/parana;south-america/brazil
112;Brazil;Rio de Janeiro;BRA-RJ;Rio de Janeiro;NA;NA;southeast/rio-de-janeiro;south-america/brazil
113;Brazil;Rio Grande do Norte;BRA-RN;Rio Grande do Norte;NA;NA;northeast/rio-grande-do-norte;south-america/brazil
114;Brazil;Rondonia;BRA-RO;Rondônia;NA;NA;north/rondonia;south-america/brazil
115;Brazil;Roraima;BRA-RR;Roraima;NA;NA;north/roraima;south-america/brazil
116;Brazil;Rio Grande do Sul;BRA-RS;Rio Grande do Sul;NA;NA;south/rio-grande-do-sul;south-america/brazil
117;Brazil;Santa Catarina;BRA-SC;Santa Catarina;NA;NA;south/santa-catarina;south-america/brazil
118;Brazil;Sergipe;BRA-SE;Sergipe;NA;NA;northeast/sergipe;south-america/brazil
119;Brazil;Sao Paulo;BRA-SP;São Paulo;NA;NA;southeast/sao-paulo;south-america/brazil
120;Brazil;Tocantins;BRA-TO;Tocantins;NA;NA;north/tocantins;south-america/brazil
