id;cont_run;ctry_run;iso3;iso_wdpa;ctry_long_name;ctry_geofab;cont_geofab;ctry_osmfr;cont_osmfr;area_code;area_name;area_ctry;area_cont
21;Africa;Malawi;MWI;MWI;Malawi;malawi;africa;malawi;africa;MWI;Malawi;Malawi;Africa
22;Africa;Mayotte;MYT;MYT;Mayotte;france/mayotte;europe;mayotte;africa;MYT;Mayotte;Mayotte;Africa
23;Africa;Nigeria;NGA;NGA;Nigeria;nigeria;africa;NA;NA;NGA;Nigeria;Nigeria;Africa
24;Africa;Reunion;REU;REU;Reunion;france/reunion;europe;reunion;africa;REU;Reunion;Reunion;Africa
25;Africa;Rwanda;RWA;RWA;Rwanda;rwanda;africa;rwanda;africa;RWA;Rwanda;Rwanda;Africa
26;Africa;Senegal;SEN;SEN;Senegal;senegal-and-gambia;africa;senegal;africa;SEN;Senegal;Senegal;Africa
27;Africa;Sierra Leone;SLE;SLE;Sierra Leone;sierra-leone;africa;NA;NA;SLE;Sierra Leone;Sierra Leone;Africa
28;Africa;South Sudan;SSD;SSD;South Sudan;south-sudan;africa;south_sudan;africa;SSD;South Sudan;South Sudan;Africa
29;Africa;Sao Tome and P.;STP;STP;Sao Tome and Principe;sao-tome-and-principe;africa;sao_tome_and_principe;africa;STP;Sao Tome and P.;Sao Tome and P.;Africa
30;Africa;Togo;TGO;TGO;Togo;togo;africa;togo;africa;TGO;Togo;Togo;Africa
31;Africa;Tanzania;TZA;TZA;United Republic of Tanzania;tanzania;africa;NA;NA;TZA;Tanzania;Tanzania;Africa
32;Africa;Uganda;UGA;UGA;Uganda;uganda;africa;uganda;africa;UGA;Uganda;Uganda;Africa
33;Africa;Zambia;ZMB;ZMB;Zambia;zambia;africa;zambia;africa;ZMB;Zambia;Zambia;Africa
34;America;Antigua and B.;ATG;ATG;Antigua and Barbuda;NA;NA;antigua_and_barbuda;central-america;ATG;Antigua and B.;Antigua and B.;America
35;America;Bahamas;BHS;BHS;Bahamas;bahamas;central-america;bahamas;central-america;BHS;Bahamas;Bahamas;America
36;America;Belize;BLZ;BLZ;Belize;belize;central-america;NA;NA;BLZ;Belize;Belize;America
37;America;Bolivia;BOL;BOL;Bolivia (Plurinational State of);bolivia;south-america;NA;NA;BOL;Bolivia;Bolivia;America
38;America;Barbados;BRB;BRB;Barbados;NA;NA;barbados;central-america;BRB;Barbados;Barbados;America
39;America;Brazil;BRA;BRA;Brazil;brazil;south-america;brazil;south-america;BRA;Brazil;Brazil;America
40;America;Chile;CHL;CHL;Chile;chile;south-america;chile;south-america;CHL;Chile;Chile;America
41;America;Colombia;COL;COL;Colombia;colombia;south-america;NA;NA;COL;Colombia;Colombia;America
42;America;Costa Rica;CRI;CRI;Costa Rica;NA;NA;costa_rica;central-america;CRI;Costa Rica;Costa Rica;America
43;America;Cuba;CUB;CUB;Cuba;cuba;central-america;NA;NA;CUB;Cuba;Cuba;America
44;America;Dominica;DMA;DMA;Dominica;NA;NA;dominica;central-america;DMA;Dominica;Dominica;America
45;America;Dominican Rep.;DOM;DOM;Dominican Republic;haiti-and-domrep;central-america;NA;NA;DOM;Dominican Rep.;Dominican Rep.;America
46;America;Ecuador;ECU;ECU;Ecuador;ecuador;south-america;NA;NA;ECU;Ecuador;Ecuador;America
47;America;Guadeloupe;GLP;GLP;Guadeloupe;france/guadeloupe;europe;guadeloupe;central-america;GLP;Guadeloupe;Guadeloupe;America
48;America;Grenada;GRD;GRD;Grenada;NA;NA;grenada;central-america;GRD;Grenada;Grenada;America
49;America;Guatemala;GTM;GTM;Guatemala;guatemala;central-america;NA;NA;GTM;Guatemala;Guatemala;America
50;America;French Guiana;GUF;GUF;French Guiana;france/guyane;europe;guyane;south-america;GUF;French Guiana;French Guiana;America
51;America;Guyana;GUY;GUY;Guyana;NA;NA;guyana;south-america;GUY;Guyana;Guyana;America
52;America;Honduras;HND;HND;Honduras;NA;NA;honduras;central-america;HND;Honduras;Honduras;America
53;America;Haiti;HTI;HTI;Haiti;haiti-and-domrep;central-america;NA;NA;HTI;Haiti;Haiti;America
54;America;Jamaica;JAM;JAM;Jamaica;jamaica;central-america;jamaica;central-america;JAM;Jamaica;Jamaica;America
55;America;Saint Kitts and N.;KNA;KNA;Saint Kitts and Nevis;NA;NA;saint_kitts_and_nevis;central-america;KNA;Saint Kitts and N.;Saint Kitts and N.;America
56;America;Saint Lucia;LCA;LCA;Saint Lucia;NA;NA;saint_lucia;central-america;LCA;Saint Lucia;Saint Lucia;America
57;America;Saint Martin;MAF;MAF;Saint Martin (French part);NA;NA;saint_martin;central-america;MAF;Saint Martin;Saint Martin;America
58;America;Mexico;MEX;MEX;Mexico;mexico;north-america;NA;NA;MEX;Mexico;Mexico;America
59;America;Montserrat;MSR;MSR;Montserrat;NA;NA;montserrat;central-america;MSR;Montserrat;Montserrat;America
60;America;Martinique;MTQ;MTQ;Martinique;france/martinique;europe;martinique;central-america;MTQ;Martinique;Martinique;America
61;America;Nicaragua;NIC;NIC;Nicaragua;nicaragua;central-america;nicaragua;central-america;NIC;Nicaragua;Nicaragua;America
62;America;Panama;PAN;PAN;Panama;NA;NA;panama;central-america;PAN;Panama;Panama;America
63;America;Peru;PER;PER;Peru;peru;south-america;NA;NA;PER;Peru;Peru;America
64;America;Puerto Rico;PRI;PRI;Puerto Rico;us/puerto-rico;north-america;puerto_rico;central-america;PRI;Puerto Rico;Puerto Rico;America
65;America;Paraguay;PRY;PRY;Paraguay;paraguay;south-america;paraguay;south-america;PRY;Paraguay;Paraguay;America
66;America;El Salvador;SLV;SLV;El Salvador;NA;NA;el_salvador;central-america;SLV;El Salvador;El Salvador;America
67;America;Suriname;SUR;SUR;Suriname;suriname;south-america;suriname;south-america;SUR;Suriname;Suriname;America
68;America;Sint Maarten;SXM;SXM;Sint Maarten (Dutch part);NA;NA;sint_maarten;central-america;SXM;Sint Maarten;Sint Maarten;America
69;America;Trinidad and Tobago;TTO;TTO;Trinidad and Tobago;NA;NA;trinidad_and_tobago;south-america;TTO;Trinidad and Tobago;Trinidad and Tobago;America
70;America;Saint Vincent;VCT;VCT;Saint Vincent and the Grenadines;NA;NA;saint_vincent_and_the_grenadines;central-america;VCT;Saint Vincent;Saint Vincent;America
71;America;Venezuela;VEN;VEN;Venezuela, Bolivarian Republic of;venezuela;south-america;venezuela;south-america;VEN;Venezuela;Venezuela;America
72;America;Virgin Isl. UK;VGB;VGB;Virgin Islands, British;NA;NA;british_virgin_islands;central-america;VGB;Virgin Isl. UK;Virgin Isl. UK;America
73;America;Virgin Isl. US;VIR;VIR;Virgin Islands, U.S.;NA;NA;usa_virgin_islands;central-america;VIR;Virgin Isl. US;Virgin Isl. US;America
74;Asia;Queensland;AUS-QLD;AUS;Queensland;NA;NA;australia/queensland;oceania;QLD;Australia – Queensland;Australia;Asia
75;Asia;Bangladesh;BGD;BGD;Bangladesh;bangladesh;asia;NA;NA;BGD;Bangladesh;Bangladesh;Asia
76;Asia;Brunei;BRN;BRN;Brunei Darussalam;NA;NA;brunei;asia;BRN;Brunei;Brunei;Asia
77;Asia;Bhutan;BTN;BTN;Bhutan;bhutan;asia;bhutan;asia;BTN;Bhutan;Bhutan;Asia
78;Asia;Fiji;FJI;FJI;Fiji;fiji;australia-oceania;NA;NA;FJI;Fiji;Fiji;Asia
79;Asia;Indonesia;IDN;IDN;Indonesia;indonesia;asia;indonesia;asia;IDN;Indonesia;Indonesia;Asia
80;Asia;Ind. Andaman;IND-AND;IND;India, Andaman and Nicobar;india;asia;india;asia;AN;India – Andaman and N.;India;Asia
81;Asia;Ind. Ghats;IND-WEST;IND;India, Western Ghats;india;asia;india;asia;WG;India – West. Ghats;India;Asia
82;Asia;Ind. North-East;IND-EAST;IND;India, North-East;india;asia;india;asia;NE;India – North-East;India;Asia
83;Asia;Cambodia;KHM;KHM;Cambodia;cambodia;asia;cambodia;asia;KHM;Cambodia;Cambodia;Asia
84;Asia;Laos;LAO;LAO;Lao People's Democratic Republic;laos;asia;laos;asia;LAO;Laos;Laos;Asia
85;Asia;Sri Lanka;LKA;LKA;Sri Lanka;sri-lanka;asia;NA;NA;LKA;Sri Lanka;Sri Lanka;Asia
86;Asia;Myanmar;MMR;MMR;Myanmar;myanmar;asia;mayanmar;asia;MMR;Myanmar;Myanmar;Asia
87;Asia;Malaysia;MYS;MYS;Malaysia;malaysia-singapore-brunei;asia;malaysia;asia;MYS;Malaysia;Malaysia;Asia
88;Asia;New Caledonia;NCL;NCL;New Caledonia;new-caledonia;australia-oceania;new_caledonia;oceania;NCL;New Caledonia;New Caledonia;Asia
89;Asia;Philippines;PHL;PHL;Philippines;philippines;asia;NA;NA;PHL;Philippines;Philippines;Asia
90;Asia;Papua New Guinea;PNG;PNG;Papua New Guinea;papua-new-guinea;australia-oceania;papua_new_guinea;oceania;PNG;Papua New Guinea;Papua New Guinea;Asia
91;Asia;Singapore;SGP;SGP;Singapore;NA;NA;singapore;asia;SGP;Singapore;Singapore;Asia
92;Asia;Solomon Isl.;SLB;SLB;Solomon Islands;NA;NA;solomon_islands;oceania;SLB;Solomon Isl.;Solomon Isl.;Asia
93;Asia;Thailand;THA;THA;Thailand;thailand;asia;NA;NA;THA;Thailand;Thailand;Asia
